formula,name,structural_group,band_gap_dir,properties,dir_or_ind,elec_or_opt,bgp_method,fab_method,no_of_layers,pub_type,vdw,filename,year,doi,link
SnP2S6,Tin phosphorus sulfide,rhombohedral,1.82,semiconductor,dir,opt,pl,mech,f,jour,TRUE,Zhang2022c,2022,10.1002/adfm.202205757,https://doi.org/10.1002/adfm.202205757
SnP2Se6,Tin phosphorus selenide,rhombohedral,1.93,semiconductor,dir,opt,uvvis,mech,b,jour,TRUE,Zhu2023,2023,10.1038/s41467-023-38131-2,https://doi.org/10.1038/s41467-023-38131-2
SnPSe3,Tin phosphorus selenide,monoclinic,1.84,semiconductor,ind,opt,uvvis,cvt,f,jour,TRUE,Qi2024a,2024,10.1039/d4tc01532k,https://doi.org/10.1039/d4tc01532k
SnS,Tin(II) sulfide,orthorhombic,2.10,semiconductor,dir,opt,uvvis,pvt,f,jour,TRUE,Kumar2024c,2024,10.1002/adma.202411420,https://doi.org/10.1002/adma.202411420
SnS2,Tin(IV) sulfide     ,hexagonal,2.23,semiconductor,dir,opt,uvvis,sol,m,jour,TRUE,Sun2012,2012,10.1002/anie.201204675,https://doi.org/10.1002/anie.201204675
SnS2,Tin(IV) sulfide,hexagonal,2.27,semiconductor,ind,opt,uvvis,cvt,m,jour,TRUE,Wang2017b,2017,10.1039/c6tc03751h,https://doi.org/10.1039/c6tc03751h
SnS2,Tin(IV) sulfide     ,hexagonal,2.34,semiconductor,dir,opt,pl,cvd,m,jour,TRUE,Shao2019,2019,10.1021/acsnano.9b03648,https://doi.org/10.1021/acsnano.9b03648
SnS2,Tin(IV) sulfide     ,hexagonal,2.60,semiconductor,dir,opt,pe,cvd,m,jour,TRUE,Ye2017a,2017,10.1007/s12274-017-1436-3,https://doi.org/10.1007/s12274-017-1436-3
SnSe,Tin(II) selenide,orthorhombic,1.35,semiconductor,ind,opt,uvvis,liq,f,jour,TRUE,Huang2017c,2017,10.1021/acs.jpcc.7b06096,https://doi.org/10.1021/acs.jpcc.7b06096
SnSe2,Tin(IV) selenide,hexagonal,1.37,semiconductor,ind,opt,uvvis,cvt,m,jour,TRUE,Wang2017b,2017,10.1039/c6tc03751h,https://doi.org/10.1039/c6tc03751h
SnSeS,Tin(IV) selenide sulfide,hexagonal,1.57,semiconductor,ind,opt,uvvis,cvt,m,jour,TRUE,Wang2017b,2017,10.1039/c6tc03751h,https://doi.org/10.1039/c6tc03751h
SnTe,Tin(II) telluride,cubic,0.19,semimetal,ind,elec,fpp,ult,f,jour,TRUE,Kannaujiya2020,2020,10.1140/epjp/s13360-019-00022-1,https://doi.org/10.1140/epjp/s13360-019-00022-1
Sr2Nb3O10,Strontium niobate,cubic,3.75,semiconductor,ind,opt,uvvis,liq,m,jour,TRUE,Zhang2022d,2022,10.1016/j.jallcom.2022.164594,https://doi.org/10.1016/j.jallcom.2022.164594
Sr2Nb3O10,Strontium niobate,cubic,3.90,semiconductor,ind,opt,uvvis,liq,m,jour,TRUE,Li2020b,2019,10.1002/adma.201905443,https://doi.org/10.1002/adma.201905443
Sr7Pb5Sb12O10S20,Strontium lead antimony oxysulfide,monoclinic,1.34,semiconductor,ind,opt,uvvis,melt,f,jour,TRUE,Wang2020f,2020,10.1039/d0tc02396e,https://doi.org/10.1039/d0tc02396e
SrTiO3,Strontium titanate,cubic,2.75,semiconductor,dir,opt,pl,pld,f,jour,TRUE,Zhang2021d,2021,10.1002/adom.202100025,https://doi.org/10.1002/adom.202100025
Ta2NiS5,Tantalum nickel sulfide,monoclinic,0.33,semiconductor,dir,opt,ftir,mech,f,jour,TRUE,Zhang2021c,2021,10.1016/j.matdes.2021.109894,https://doi.org/10.1016/j.matdes.2021.109894
Ta2NiS5,Tantalum nickel sulfide,orthorhombic,0.20,semimetal,dir,opt,prirs,mech,f,jour,TRUE,Li2017b,2017,10.1021/acsnano.7b04860,https://doi.org/10.1021/acsnano.7b04860
Ta2NiSe5,Tantalum nickel selenide,monoclinic,0.36,semiconductor,dir,elec,sts,mech,m,jour,TRUE,Li2023b,2023,10.1016/j.matdes.2023.111799,https://doi.org/10.1016/j.matdes.2023.111799
Ta2NiSe5,Tantalum nickel selenide,monoclinic,0.25,semimetal,dir,opt,ftir,mech,f,jour,TRUE,Guo2023b,2023,10.1088/2053-1583/acb1c3,https://doi.org/10.1088/2053-1583/acb1c3
TaSe2,Tantalum selenide,trigonal,1.15,semiconductor,dir,opt,pl,mech,f,jour,TRUE,Wang2023c,2024,10.1016/j.jcis.2023.11.172,https://doi.org/10.1016/j.jcis.2023.11.172
TiS3,Titanium sulfide,monoclinic,0.96,semiconductor,dir,opt,pe,mech,m,jour,TRUE,Lian2020,2020,10.1063/5.0019828,https://doi.org/10.1063/5.0019828
TlGaS2,Thallium gallium sulfide,monoclinic,2.57,semiconductor,dir,opt,uvvis,mech,f,jour,TRUE,Delice2022a,2022,10.1016/j.jlumin.2021.118714,https://doi.org/10.1016/j.jlumin.2021.118714
TlGaSe2,Thallium gallium selenide,monoclinic,2.04,semiconductor,dir,opt,pl,mech,f,jour,TRUE,Grivickas2014a,2014,10.1002/pssr.201409148,https://doi.org/10.1002/pssr.201409148
TlInS2,Thallium indium sulfide,monoclinic,2.40,semiconductor,dir,opt,pl,mech,f,jour,TRUE,Grivickas2014a,2014,10.1002/pssr.201409148,https://doi.org/10.1002/pssr.201409148
TlInS2,Thallium indium sulfide,monoclinic,2.42,semiconductor,dir,opt,pl,bridg,f,jour,TRUE,Grivckas2019,2019,10.1039/C8CP06209A,https://doi.org/10.1039/C8CP06209A
TlSe,Thallium selenide,tetragonal,0.67,semiconductor,dir,opt,ftir,bridg,f,jour,TRUE,Dutta2019,2019,10.1021/jacs.9b10551,https://doi.org/10.1021/jacs.9b10551
V2O5,Vandium oxide,orthorhombic,2.40,semiconductor,ind,opt,uvvis,sol,f,jour,TRUE,Yalagala2019,2019,10.1021/acsanm.8b02233,https://doi.org/10.1021/acsanm.8b02233
WS2,Tungsten sulfide,hexagonal,1.39,semiconductor,dir,opt,pl,mech,f,jour,TRUE,Wang2023c,2024,10.1016/j.jcis.2023.11.172,https://doi.org/10.1016/j.jcis.2023.11.172
WS2,Tungsten sulfide,hexagonal,1.90,semiconductor,dir,opt,uvvis,cvd,m,jour,TRUE,Lan2015a,2015,10.1039/C5NR01205H,https://doi.org/10.1039/C5NR01205H
WS2,Tungsten sulfide,hexagonal,1.97,semiconductor,dir,opt,pl,cvd,m,jour,TRUE,Park2017,2017,10.1038/s41598-017-16251-2,https://doi.org/10.1038/s41598-017-16251-2
WS2,Tungsten sulfide,hexagonal,2.00,semiconductor,dir,opt,pl,cvd,m,jour,TRUE,Huang2016b,2016,10.1088/0957-4484/27/13/13LT01,https://doi.org/10.1088/0957-4484/27/13/13LT01
WSe2,Tungsten selenide,hexagonal,1.60,semiconductor,dir,opt,pl,cvd,m,jour,TRUE,Huang2016b,2016,10.1088/0957-4484/27/13/13LT01,https://doi.org/10.1088/0957-4484/27/13/13LT01
WSe2,Tungsten selenide,hexagonal,1.68,semiconductor,dir,opt,pl,mech,m,jour,TRUE,Tongay2014,2014,10.1038/ncomms4252,https://doi.org/10.1038/ncomms4252
WSSe,Tungsten sulfide selenide,hexagonal,1.75,semiconductor,dir,opt,pl,cvd,m,jour,TRUE,Nugera2022,2022,10.1002/smll.202106600,https://doi.org/10.1002/smll.202106600
ZnIn2S4,Zinc indium sulfide,hexagonal,1.93,semiconductor,dir,opt,pl,mech,f,jour,TRUE,Weng2020,2020,10.1002/pssr.202000085,https://doi.org/10.1002/pssr.202000085
ZnIn2S4,Zinc indium sulfide,hexagonal,1.96,semiconductor,ind,opt,uvvis,mech,m,jour,TRUE,Weng2020,2020,10.1002/pssr.202000085,https://doi.org/10.1002/pssr.202000085
ZnPS3,Zinc phosphorus sulfide,monoclinic,3.40,semiconductor,dir,opt,uvvis,mech,m,jour,TRUE,Du2016,2015,10.1021/acsnano.5b05927,https://doi.org/10.1021/acsnano.5b05927
ZnPSe3,Zinc phosphorus selenide,monoclinic,0.40,semiconductor,ind,opt,pl,mech,m,jour,TRUE,Grzeszczyk2022a,2022,10.1073/pnas.2207074119,https://doi.org/10.1073/pnas.2207074119
ZnTe,Zinc telluride,hexagonal,2.18,semiconductor,ind,opt,uvvis,pvd,f,jour,TRUE,You2022,2022,10.1002/aelm.202101146,https://doi.org/10.1002/aelm.202101146
ZrGeTe4,Zirconium germanium telluride,orthorhombic,1.39,semiconductor,dir,opt,uvvis,mech,f,jour,TRUE,Bai2021,2021,10.1002/inf2.12258,https://doi.org/10.1002/inf2.12258
ZrS3,Zirconium sulfide,monoclinic,1.85,semiconductor,dir,opt,pc,mech,m,jour,TRUE,Drozdowska2023a,2023,10.1016/j.mtcomm.2023.105379,https://doi.org/10.1016/j.mtcomm.2023.105379
ZrSe2,Zirconium selenide,hexagonal,1.07,semiconductor,ind,elec,arpes,mech,f,jour,TRUE,Mleczko2017a,2017,10.1126/sciadv.1700481,https://doi.org/10.1126/sciadv.1700481
ZrTe5,Zirconium telluride,cubic,0.24,semimetal,dir,elec,sts,mbe,m,jour,TRUE,Xu2024,2024,10.1038/s41467-024-49197-x,https://doi.org/10.1038/s41467-024-49197-x
